acl_key,year,c3_hit,title
zhong-etal-2026-cognitive,2026,yes,Cognitive Policy-Driven {LLM} for Diagnosis and Intervention of Cognitive Distortions in Emotional Support Conversation
zhang-etal-2026-sentient,2026,yes,Sentient Agent as a Judge: Evaluating Higher-Order Social Cognition in Large Language Models
zhang-etal-2026-preference,2026,yes,Preference Learning Unlocks {LLM}s' Psycho-Counseling Skills
zhang-etal-2026-ma2p,2026,yes,{MA}$^{2}${P}: A Meta-Cognitive Autonomous Intelligent Agents Framework for Complex Persuasion
zeng-nakano-2026-schema,2026,yes,Schema-Guided Response Generation using Multi-Frame Dialogue State for Motivational Interviewing Systems
yoo-rosen-2026-counterfactual,2026,yes,Counterfactual Auditing of Cross-Cultural Variation in {LLM}-Generated Medical Advice
ye-etal-2026-emoharbor,2026,yes,{E}mo{H}arbor: Evaluating Personalized Emotional Support by Simulating the User{'}s Internal World
yang-etal-2026-mithinker,2026,yes,{MIT}hinker: A Plug-and-Play Policy-Optimized Thinker For Motivational Interviewing Counseling
yang-etal-2026-empathy,2026,yes,Empathy in Diversity: Personalized Depression and Anxiety Therapy via Dialogue State Tracking and Patient-Aware Planning
xu-etal-2026-puppet,2026,yes,{PUPPET}: Neural-Symbolic Standardized Patients for Mental Health
xu-abdullah-2026-creating,2026,yes,Creating Multilingual Mental Health Dialogue Datasets: Limits of Persona-Based Localization via Nationality and Language
wu-etal-2026-emotion,2026,yes,Emotion Trajectory-aware Retrieval for {M}arkov-driven Emotion Anticipation in {LLM}-based Emotional Support Conversation
welivita-etal-2026-generates,2026,yes,Who Generates More Empathetic Responses{---}Humans or {LLM}s? A Comparative Evaluation with Human and {LLM} Judges
wang-etal-2026-reg,2026,no,{REG}: Retrieval via Emotion Similarity for Guiding Empathetic Dialogue Generation
wang-etal-2026-psychological,2026,yes,Psychological Counseling Cannot Be Achieved Overnight: Automated Psychological Counseling Through Multi-Session Conversations
wang-etal-2026-perm,2026,yes,{PERM}: Psychology-grounded Empathetic Reward Modeling for Large Language Models
wang-etal-2026-genpt,2026,yes,{G}en{PT}: Beyond Self-Report for Reliable {LLM} Psychometrics via Generative Projective Testing
wang-etal-2026-causal,2026,yes,Causal-{ESC}: Reliable Policy Learning for Emotional Support Conversation via Causal Inference
tint-etal-2026-expressivitybench,2026,yes,{E}xpressivity{B}ench: Can {LLM}s Communicate Implicitly?
thummar-perez-rosas-2026-responses,2026,no,From Responses to Trajectories: Modeling the Development of Reflective Listening Skills
tang-etal-2026-trace,2026,yes,{TRACE}: Two-Phase {RL} for Causal Graph Exploration and Deeper Psychological Intervention in Dynamic Counseling Scenarios
sui-etal-2026-tea,2026,yes,{TEA}-Bench: A Systematic Benchmarking of Tool-enhanced Emotional Support Dialogue Agent
son-etal-2026-dont,2026,yes,{I} Don{'}t Need Solution. {I} Need Emotional Support : Empathetic {LLM}s based on Emotional Validation
shi-etal-2026-univocal,2026,no,{U}ni{V}ocal: Unified Speech-Singing Code-Switching Synthesis
shahzad-etal-2026-upr,2026,yes,{UPR} at {S}em{E}val-2026 Task 9: Multi-Label Classification of Polarization Across Social Dimensions and Manifestation Identification in {U}rdu
sanchez-carmona-etal-2026-randomized,2026,yes,Randomized Controlled Trials as the Gold-Standard for Evaluating {LLM}s: A Primer for Biomedical {NLP} Researchers
s-etal-2026-igniters,2026,yes,Igniters@{LTEDI} 2026: Multilingual Gender-Inclusive Language Generation with m{T}5 and Counter-Narrative Generation Using Llama-3
s-b-priya-b-2026-rspectnlp,2026,yes,{R}spect{NLP}@{LT}-{EDI} 2026:Rubric-Driven Prompting for Safe Multilingual Counter Narrative Generation
rudolph-etal-2026-transition,2026,no,Transition-Matrix Regularization for Next Dialogue Act Prediction in Counselling Conversations
refoua-bar-2026-thinking,2026,no,Thinking With a Machine: An {AI} Agent{'}s Account of Agentic Research in Clinical Psychology
rao-etal-2026-empath,2026,yes,{EMPATH}: An Ensemble Method for Automatic Fine-Grained Turn-Level Dialogue Empathy Evaluation with a Novel Emotional Distance Metric
randhawa-etal-2026-empathy,2026,yes,Empathy Applicability Modeling for General Health Queries
qiu-lan-2026-interactive,2026,yes,Interactive Agents: Simulating Counselor-Client Psychological Counseling via Role-Playing {LLM}-to-{LLM} Interactions
qiu-etal-2026-chatanime,2026,yes,{C}hat{A}nime: Towards User-Centered Emotional Support in {LLM}-based Virtual Character Chat
qi-etal-2026-care,2026,yes,{CARE}-{CR}: Context-Aware Routing and Expert Fusion for Multi-Preference Cognitive Restructuring
puspo-etal-2026-role,2026,yes,On the Role of Context in {LLM} Alignment to Mental Health Counseling Competencies
park-etal-2026-psyprobe,2026,yes,{P}sy{P}robe: Proactive and Interpretable Dialogue through User State Modeling for Exploratory Counseling
pan-etal-2026-psycheval,2026,no,{P}sych{E}val: A Multi-Session and Multi-Therapy Benchmark for High-Realism {AI} Psychological Counselor
p-jagadeeshan-2026-ihlc,2026,no,{IHLC}@{LT}-{EDI} 2026: Steering Toward Inclusivity - A Representation Engineering for Gender-Neutral Rewriting
nguyen-quan-2026-works,2026,yes,Which Works Best for {V}ietnamese? {A} Practical Study of Information Retrieval Methods across Domains
na-etal-2026-overview,2026,yes,Overview of the {P}sy{D}ef{D}etect Shared Task at {B}io{NLP} 2026: Detecting Levels of Psychological Defense Mechanisms in Supportive Conversations
montesano-etal-2026-mostly,2026,yes,"Mostly Grounded, Occasionally Risky: Expert Evaluation of {LLM}-Generated Supervisory Feedback in a Psychotherapy Training Simulator"
meng-etal-2026-storymi,2026,yes,{S}tory{MI}: Steerable Multi-Agent Therapeutic Dialogue Generation
mendonca-etal-2026-medal,2026,yes,{MEDAL}: A Framework for Benchmarking {LLM}s as Multilingual Open-Domain Dialogue Evaluators
mazhar-etal-2026-measuring,2026,yes,Measuring What Matters!! Assessing Therapeutic Principles in Mental-Health Conversation
maheswaran-desarkar-2026-unified,2026,yes,A Unified View on Emotion Representation in Large Language Models
luo-laban-2026-spasm,2026,yes,{SPASM}: Stable Persona-driven Agent Simulation for Multi-turn Dialogue Generation
luo-laban-2026-dialogguard,2026,yes,{D}ialog{G}uard: Multi-Agent Psychosocial Safety Evaluation Interface of Sensitive {LLM} Responses
luo-etal-2026-aeq,2026,no,{AEQ}-Bench: Measuring Empathy of Omni-Modal Large Models
liu-etal-2026-tailored,2026,yes,Tailored Emotional {LLM}-Supporter: Enhancing Cultural Sensitivity
lia-roy-dipta-2026-cross,2026,yes,"Cross-Lingual Sentiment Misalignment: Auditing Multilingual Language Models for Inversion Risk, Dialectal Representation, and Affective Stability"
li-etal-2026-recap,2026,yes,{RECAP}: Resistance Capture in Text-based Mental Health Counseling with Large Language Models
li-etal-2026-community,2026,no,Community-Aware Assessment of Social Textual Engagement and Resonance: A Human-Centric Perspective on User-Generated Content Evaluation
li-etal-2026-cflowpsyd,2026,yes,{CF}low{P}sy{D}: An Analysis-Enhanced Dataset for Asynchronous Psychological Counseling through Self-Optimizing Multi-Agent Framework
lee-etal-2026-mhsafeeval,2026,yes,{MHS}afe{E}val: Role-Aware Interaction-Level Evaluation of Mental Health Safety in Large Language Models
lai-etal-2026-synthesis,2026,yes,From Synthesis to Clinical Assistance: A Strategy-Aware Agent Framework for Autism Intervention based on Real Clinical Dataset
kumaresan-etal-2026-findings,2026,no,Findings of Shared Task on Counter Narrative Generation on Homophobic and Transphobic Comments
kim-etal-2026-phasemi,2026,yes,{P}hase{MI}: A Motivational Interviewing Dataset for Enhancing Phase Progression in {LLM}-based Counseling
kim-etal-2026-open,2026,no,Open Your Model{'}s Eyes: Video and Context-Aware Multimodal Backchannel Prediction
kim-etal-2026-multi-view,2026,yes,Multi-View Attention Multiple-Instance Learning Enhanced by {LLM} Reasoning for Cognitive Distortion Detection
kim-etal-2026-kind,2026,yes,Being Kind Isn{'}t Always Being Safe: Diagnosing Affective Hallucination in {LLM}s
ji-etal-2026-stride,2026,yes,{STRIDE}-{ED}: A Strategy-Grounded Stepwise Reasoning Framework for Empathetic Dialogue Systems
ikegami-etal-2026-dialogue,2026,no,A Dialogue Agent to Let Users Experience and Gently Enhance the ``Gyaru-Mind''
huang-etal-2026-zzucs,2026,no,zzucs at {P}sy{D}ef{D}etect: Bridging Long-Tail Imbalance and Clinical Rubrics for {DMRS} Defense-Level Detection
hsu-etal-2026-beyond,2026,yes,Beyond Evidence: Belief-Chain Conditioning for Persuasive Misinformation Debunking Explanation
hong-etal-2026-freezeempath,2026,yes,{F}reeze{E}mpath: Efficient Training for Empathetic Spoken Chatbots with Frozen {LLM}s
hoang-etal-2026-llms,2026,yes,{LLM}s as Standardised Patients for Motivational Interviewing: How Faithful Are They?
heo-etal-2026-stress,2026,yes,Stress-Testing Emotional Support Models: Moving from Homogeneous to Diverse Help Seekers
hazel-etal-2026-empathy,2026,yes,Empathy as interactional accomplishment in clinical interactions with a conversational agent
hasan-etal-2026-enhancing,2026,yes,Enhancing Mental Health Counseling Support in {B}angladesh using Culturally-grounded Knowledge
guo-etal-2026-emos,2026,yes,{E}mo{S}: A High-Fidelity Multimodal Benchmark for Fine-grained Streaming Emotional Understanding
gong-etal-2026-theory,2026,yes,Does Theory of Mind Improvement Really Benefit Human-{AI} Interactions? Empirical Findings from Interactive Evaluations
gligorovic-etal-2026-howd,2026,no,``How{'}d You Type That So Fast?'' A Descriptive Analysis of Counselor Message Text Reuse in Text-Based Crisis Counseling
garg-etal-2026-designing,2026,yes,Designing Structured Conversational Support for Tuberculosis Treatment Adherence and Patient Coping
gao-etal-2026-es4r,2026,yes,{ES}4{R}: Speech Encoding Based on Prepositive Affective Modeling for Empathetic Response Generation
galat-rizoiu-2026-uts,2026,no,{UTS} at {P}sy{D}ef{D}etect: Multi-Agent Councils and Absence-Based Reasoning for Defense Mechanism Classification
fu-etal-2026-enpmr,2026,yes,{ENPMR}-Bench: Benchmarking Proactive Memory Retrieval for Emotional Support Agents
feng-etal-2026-psychain,2026,no,{P}sy{C}hain: A Collaborative Chain-of-Agents Framework for Generating Personalized and Professional Counseling Dialogues
deng-etal-2026-ethicmind,2026,yes,{E}thic{M}ind: A Risk-Aware Framework for Ethical-Emotional Alignment in Multi-Turn Dialogue
deng-etal-2026-cogemp,2026,yes,{C}og{E}mp:A Cognitive Empathy-Oriented Dialogue System for Structured Psychological Counseling
demeocq-etal-2026-attachment,2026,yes,The Attachment Index: Auditing Attachment Language Cues and Relational Safety Risks in Human-{LLM} Dialogue
dai-etal-2026-psyche,2026,yes,"Psyche-R1: Towards Reliable Psychological {LLM}s through Unified Empathy, Expertise, and Reasoning"
cui-etal-2026-measuring,2026,yes,Measuring the quality of therapy sessions against assessment scales using augmented semantic-similarity approaches
chu-etal-2026-beyond,2026,no,Beyond Semantic Similarity: Appraisal-Guided Chain-of-Thought Reasoning and Retrieval for Multimodal Emotional Support Conversations
chen-etal-2026-psychepass,2026,yes,{P}syche{P}ass: Calibrating {LLM} Therapeutic Competence via Trajectory-Anchored Tournaments
campione-etal-2026-language,2026,yes,Language-Based Detection of Adherence to Evidence-Based Psychotherapy Scripts
buyanov-etal-2026-psytechlab,2026,yes,psytechlab at {CLP}sych 2026: Utilising Natural Language Processing methods and Large Language Models for Social Media Text Analysis
